9656	7561	214	2674	1338	12669
9810	9568	1762	3293	1776	7057
8808	7684	2405	3516	7844	6353
1196	4221	6404	507	1788	13265
5410	7198	3915	1777	5185	22615
8259	5126	666	1795	1451	9413
3199	6975	480	3140	545	12126
4956	9426	1669	3321	2566	7579
3648	6192	425	1716	750	5963
11093	18881	1159	7425	2098	6006
5403	12974	4400	5977	1744	3366
1124	4523	1420	549	497	13146
12319	11757	287	3881	2931	31714
6208	14982	3095	6707	602	21217
9465	12091	294	5058	2168	24653
1114	3821	397	964	412	10253
8816	12121	134	4508	1080	1020
6157	2933	839	370	4478	5876
6327	10099	2205	2767	3181	18601
2495	9464	669	2518	501	7780
4519	4602	1066	2259	2124	17546
871	2010	3383	375	569	5567
1917	4469	9408	2381	4334	31276
36423	22019	5154	4337	16523	26373
9776	13792	2915	4482	5778	22647
4230	7595	201	4003	57	16165
961	2861	3151	242	833	9898
803	3045	485	100	518	14276
20484	25957	1158	8604	5206	4113
2100	2609	1200	1107	823	43088
3610	11107	1148	2134	2963	18815
4339	3133	2088	820	985	2612
1318	2886	266	918	405	21632
4786	7326	6130	361	1083	29729
1979	2262	425	483	395	1502
5491	11091	833	4239	436	688
4362	5428	1729	862	4626	29955
10556	12477	1920	6506	714	15168
15729	16709	33	6956	433	4591
555	902	10002	212	2916	56159
4332	4757	9510	1145	5864	24025
3065	5956	2033	2575	2802	19176
7555	14961	188	6899	46	10850
11095	23998	787	9529	72	630
7027	10471	541	4618	65	9670
22044	21531	1740	7353	4985	5181
14069	21955	1668	6792	1452	3103
54259	55571	7782	24171	6465	44466
6152	10868	584	5121	1476	11519
21412	28921	1798	13583	1163	4967
1095	1980	3860	609	2162	6269
4051	6996	239	1538	301	3347
3916	5876	532	2587	1278	40721
10473	11532	744	5611	224	491
1449	1947	2436	204	1333	27329
3683	5005	1057	2024	1130	5264
29892	26866	2616	17740	1340	4098
9933	10487	38	7572	1282	5417
1970	1648	596	227	436	13779
5360	8040	129	3084	1603	6137
3045	7854	96	4095	225	8590
38369	59598	3254	26701	2017	35942
6245	6544	4154	4074	964	7823
11601	15775	2896	7677	1295	9396
1227	3250	3724	1247	1145	4760
20959	45828	36	24231	1423	85
1534	7417	175	3468	27	9
6759	13462	1256	5141	834	19913
7260	3993	5870	788	3095	2446
2820	1293	779	656	144	8352
2037	3202	10643	116	1365	16705
1266	21042	5373	4173	14472	18291
5139	2661	8872	1321	181	4420
5332	8713	8132	764	648	19899
6343	9794	1285	1901	1780	8190
1137	3	4407	3	975	20398
3587	6532	7530	529	894	717
12697	28540	869	12034	1009	12205
1175	2067	2096	301	167	10766
3259	3655	868	1202	1653	1640
829	3009	430	610	529	7005
9540	14403	283	7818	156	219
9232	11009	737	3537	2342	10362
1563	1783	2320	550	772	20874
3327	4814	1178	3837	120	11867
46197	92780	1026	40827	2944	16117
73498	32114	987	20070	903	22925
5025	8117	6312	1579	14351	43265
542	4042	9735	165	46	7864
3836	5330	3443	454	3178	24904
596	1638	3347	69	360	11405
2762	2530	8693	627	1117	12754
27472	32034	3232	18906	5130	9198
3090	2062	35009	71	2698	11314
12220	11323	206	5038	244	5626
2920	6252	440	223	709	3
2616	8118	145	3874	217	23
254	610	774	54	63	403
112	778	895	56	132	503
2182	1909	5639	215	323	9658
7779	12144	3252	8035	3029	11594
10810	16267	1593	6766	1838	1420
6459	7677	2561	4573	1386	2932
3504	8906	18028	1480	2498	56082
2132	3445	1336	1491	548	14100
1014	3970	910	139	1378	15587
6337	10704	133	6830	1831	1454
10646	14886	2471	8969	1438	8797
8397	6981	247	2505	1236	1531
16729	28986	673	836	3	1406
1648	1694	2276	169	1647	11818
11114	17569	805	6457	1519	12579
2770	2469	8853	483	2708	19046
2295	1733	3220	585	1561	14438
1080	2000	2555	118	1266	18044
793	2988	2715	276	610	11134
2521	3355	1517	310	222	11173
3880	5380	1647	319	1160	6990
1891	2362	5343	411	933	20049
2344	2147	3896	266	635	8258
1200	3412	2417	174	1136	17160
3234	1498	2395	264	255	4020
201	245	1991	25	860	12212
10769	8814	2194	1976	143	11170
1642	2961	4787	500	1621	36050
3473	7102	16538	778	918	76237
1840	1658	8195	349	483	19219
7243	10685	880	2386	2749	21465
8847	3823	142	1062	3	140
926	1510	1718	410	1819	42312
2428	699	6316	395	911	7149
589	314	346	70	310	2101
2032	2479	576	955	328	14903
1042	1235	436	256	396	9434
1882	2174	720	47	537	7388
